"Participant","propCorrect_overall"
"001",0.916666666666667
"002",0.933333333333333
"003",0.958333333333333
"004",0.941666666666667
"005",0.875
"006",0.883333333333333
"007",0.958333333333333
"008",0.933333333333333
"009",0.983333333333333
"010",0.858333333333333
"011",0.75
"012",0.9
"013",0.9
"014",0.916666666666667
"015",0.95
"016",0.841666666666667
"017",0.941666666666667
"018",0.925
"019",0.9
"020",0.85
"021",0.916666666666667
"022",0.983333333333333
"023",0.458333333333333
"024",0.858333333333333
"025",0.941666666666667
"026",0.85
"027",0.916666666666667
"028",0.85
"029",0.791666666666667
"030",0.866666666666667
"031",0.858333333333333
"032",0.941666666666667
"033",0.908333333333333
"034",0.525
"035",0.875
"036",0.85
"037",0.916666666666667
"038",0.941666666666667
"039",0.941666666666667
"040",0.983333333333333
"041",0.791666666666667
"042",0.933333333333333
"043",0.95
"044",0.808333333333333
"045",0.825
"046",0.958333333333333
"047",0.866666666666667
"048",0.65
"049",0.908333333333333
"050",0.95
"051",0.866666666666667
"052",0.941666666666667
"053",0.758333333333333
"054",0.783333333333333
"055",0.8
"056",0.966666666666667
"057",0.791666666666667
"058",0.9
"059",0.883333333333333
"060",0.866666666666667
"061",0.925
"062",0.9
"063",0.825
"064",0.833333333333333
"065",0.85
"066",0.9
"067",0.925
"068",0.916666666666667
"069",0.883333333333333
"070",0.891666666666667
"071",0.833333333333333
"072",0.891666666666667
"073",0.925
"074",0.766666666666667
"075",0.908333333333333
"076",0.833333333333333
"077",0.95
"078",0.975
"079",0.95
"080",0.625
"081",0.966666666666667
"082",0.941666666666667
"083",0.866666666666667
"084",0.9
"085",0.9
"086",0.825
"087",0.858333333333333
"088",0.916666666666667
"089",0.908333333333333
"090",0.708333333333333
"091",0.916666666666667
"092",0.9
"093",0.875
"094",0.875
"095",0.833333333333333
"096",0.891666666666667
"097",0.883333333333333
"098",0.9
"099",0.916666666666667
"100",0.883333333333333
"101",0.825
"102",0.933333333333333
"103",0.883333333333333
"104",0.7
"105",0.816666666666667
"107",0.95
"108",0.925
"109",0.95
"110",0.741666666666667
"111",0.9
"112",0.9
"113",0.85
"114",0.8
"115",0.825
"116",0.958333333333333
"117",0.866666666666667
"118",0.766666666666667
"119",0.916666666666667
"120",0.908333333333333
"121",0.85
"122",0.941666666666667
"123",0.958333333333333
"124",0.941666666666667
"125",0.925
"126",0.908333333333333
"127",0.783333333333333
"128",0.933333333333333
"129",0.916666666666667
"130",0.925
"131",0.825
"132",0.8
"133",0.808333333333333
"134",0.866666666666667
"135",0.891666666666667
"136",0.975
"137",0.866666666666667
"138",0.75
"139",0.9
"140",0.825
"141",0.875
"142",0.891666666666667
"143",0.925
"144",0.916666666666667
"145",0.808333333333333
"146",0.8
"147",0.908333333333333
"148",0.875
"149",0.825
"150",0.941666666666667
"151",0.925
"152",0.858333333333333
"153",0.925
"154",0.916666666666667
"155",0.908333333333333
"156",0.891666666666667
"157",0.916666666666667
"158",0.891666666666667
"159",0.9
"160",0.941666666666667
"161",0.833333333333333
"162",0.85
"164",0.908333333333333
"165",0.841666666666667
"166",0.9
"167",0.925
"168",0.958333333333333
"169",0.916666666666667
"170",0.958333333333333
"171",0.916666666666667
"172",0.9
"173",0.783333333333333
"174",0.925
"175",0.95
"176",0.866666666666667
"177",0.925
"178",0.891666666666667
"179",0.75
"180",0.883333333333333
